JAMES	43	1766343633
JOHN	5	1912981168
ROBERT	66	2048690155
MICHAEL	31	1919274907
MARY	20	1147549474
WILLIAM	56	114757890
DAVID	2	1338460947
RICHARD	28	2021658996
CHARLES	2	1139744392
JOSEPH	13	1681090094
THOMAS	19	1177353472
PATRICIA	68	1799936060
CHRISTOPHER	43	1577773829
LINDA	2	1510413694
BARBARA	61	1772008593
DANIEL	17	586797774
PAUL	65	1126736513
MARK	26	1837045071
ELIZABETH	36	887048735
DONALD	60	1118404277
JENNIFER	65	273069287
GEORGE	47	1731786841
MARIA	26	1561684254
KENNETH	7	1225970019
SUSAN	2	294967937
STEVEN	37	2098461498
EDWARD	23	2057482459
MARGARET	38	1459902842
BRIAN	18	1201098987
RONALD	51	2067962143
DOROTHY	12	1619322560
ANTHONY	28	1366809545
LISA	46	1075920616
KEVIN	49	1499621365
NANCY	24	2001909451
KAREN	61	1990644297
BETTY	17	2003470152
HELEN	36	1445557581
JASON	6	1788163306
MATTHEW	69	1983392233
GARY	40	1334702760
TIMOTHY	67	172323428
SANDRA	31	1861955912
JOSE	47	1130482423
LARRY	47	852126939
JEFFREY	35	1973419989
FRANK	39	1760080152
DONNA	31	1232854561
CAROL	3	2066179007
RUTH	38	807520873
SCOTT	10	1832265945
ERIC	53	1285144863
STEPHEN	6	1430386372
ANDREW	35	1441177429
SHARON	44	1808609227
MICHELLE	10	2114360603
LAURA	54	1985557888
SARAH	24	1991212843
KIMBERLY	63	737668718
DEBORAH	15	573975501
JESSICA	2	1864198308
RAYMOND	48	1690128682
SHIRLEY	54	2015222317
CYNTHIA	65	1171270030
ANGELA	15	1426639611
MELISSA	68	518370142
BRENDA	18	407008991
AMY	34	242747090
JERRY	13	1419973144
GREGORY	30	2074347722
ANNA	28	1884468057
JOSHUA	47	2109930383
VIRGINIA	14	656247213
REBECCA	43	1878593989
KATHLEEN	52	1607374927
DENNIS	20	1787885644
PAMELA	64	994589841
MARTHA	12	1752270290
DEBRA	47	747698862
AMANDA	34	2003312337
WALTER	22	2072077127
STEPHANIE	33	1921231314
WILLIE	40	976778733
PATRICK	60	1478377890
TERRY	1	1704518608
CAROLYN	35	2020559240
PETER	44	1883070148
CHRISTINE	25	1955060124
MARIE	2	747626182
JANET	37	1674747686
FRANCES	30	2014965488
CATHERINE	29	2051564929
HAROLD	38	1327191044
HENRY	51	2121588811
DOUGLAS	53	1116004554
JOYCE	23	262922116
ANN	19	1761405955
DIANE	13	1807954815
ALICE	40	476333275
JEAN	66	1413690872
JULIE	40	398196236
CARL	2	1987832253
KELLY	25	1850078361
HEATHER	28	1476170997
ARTHUR	8	1012483831
TERESA	19	1861027546
GLORIA	22	1437621503
DORIS	11	859365085
RYAN	11	557266074
JOE	69	1596219671
ROGER	9	1161953545
EVELYN	17	1784657933
JUAN	57	1572572162
ASHLEY	28	480553144
JACK	2	2124278631
CHERYL	51	907385714
ALBERT	12	1034947652
JOAN	10	1244414286
MILDRED	2	2060921357
KATHERINE	2	1558124611
JUSTIN	58	1597430582
JONATHAN	60	1224796790
GERALD	39	808530228
KEITH	55	2075253298
SAMUEL	9	1693700042
JUDITH	36	876916105
ROSE	30	1653923721
JANICE	24	656322098
LAWRENCE	31	1419325225
RALPH	33	1036064715
NICOLE	26	1146294093
JUDY	62	225336708
NICHOLAS	4	1131842433
CHRISTINA	28	1522024717
ROY	22	1879167430
KATHY	8	1733000452
THERESA	3	1674069551
BENJAMIN	43	1685513515
BEVERLY	10	1932517321
DENISE	56	1946957399
BRUCE	40	2035255462
BRANDON	67	1641814057
ADAM	13	1129458900
TAMMY	17	2070762151
IRENE	26	1837687019
FRED	66	1740455163
BILLY	37	1166368131
HARRY	20	1291797335
JANE	50	1428086332
WAYNE	47	1476544798
LOUIS	26	847813696
LORI	57	2055537554
STEVE	59	1713744866
TRACY	3	1082822115
JEREMY	37	2056944697
RACHEL	31	1338162627
ANDREA	9	1801293389
AARON	37	1973491163
MARILYN	59	1783889249
ROBIN	59	1609071678
RANDY	47	1461879158
LESLIE	61	14677238
KATHRYN	37	1969110280
EUGENE	35	1122093887
BOBBY	39	1004347224
HOWARD	0	1994413186
CARLOS	66	1433620803
SARA	32	1942867819
LOUISE	33	912700454
JACQUELINE	69	705568681
ANNE	66	1120946252
WANDA	54	2046604980
RUSSELL	54	829391625
SHAWN	8	746248733
VICTOR	62	1720454810
JULIA	56	1294729576
BONNIE	46	2023585166
RUBY	9	1369061236
CHRIS	37	562411275
TINA	50	2094949072
LOIS	27	1752007357
PHYLLIS	6	1314227569
JAMIE	32	1394232794
NORMA	49	1293768579
MARTIN	59	1852958629
PAULA	41	1954685243
JESSE	27	1417576226
DIANA	26	1578515054
ANNIE	16	1297876273
SHANNON	0	1132741210
ERNEST	35	1535508276
TODD	18	950025728
PHILLIP	33	727027965
LEE	47	1526542524
LILLIAN	27	326424061
PEGGY	34	1868980200
EMILY	0	1229710219
CRYSTAL	48	318697883
KIM	24	1635817906
CRAIG	21	1798803445
CARMEN	60	1513223180
GLADYS	69	1900023364
CONNIE	32	1436641967
RITA	27	922553403
ALAN	62	1133923614
DAWN	1	1229560172
FLORENCE	41	1569282565
DALE	41	1330864898
SEAN	11	561645558
FRANCIS	0	2003099084
JOHNNY	58	734690890
CLARENCE	16	1333686518
PHILIP	31	1214959361
EDNA	54	962556918
TIFFANY	18	1577414305
TONY	52	1608020191
ROSA	57	2121724221
JIMMY	4	766209637
EARL	57	965184616
CINDY	24	1723063410
ANTONIO	57	1772798110
LUIS	50	603042923
MIKE	23	936806003
DANNY	31	1470561739
BRYAN	41	2003636330
GRACE	34	1811489939
STANLEY	43	484097723
